product_id,description,product_type,quantity_available
P000001,Chair Red leather,Livingroom,21
P000002,Table Oak,Livingroom,4
P000003,Couch Green cloth,Livingroom,10
P000004,Dining table Plastic,Kitchen,23
P000005,Stool Black ash,Kitchen,12
P000006,Chair Red leather,Livingroom,21
P000007,Table Oak,Livingroom,4
P000008,Couch Green cloth,Livingroom,10
P000009,Dining table Plastic,Kitchen,23
P000010,Stool Black ash,Kitchen,12
P000011,Chair Red leather,Livingroom,21
P000012,Table Oak,Livingroom,4
P000013,Couch Green cloth,Livingroom,10
P000014,Dining table Plastic,Kitchen,23
P000015,Stool Black ash,Kitchen,12
P000016,Chair Red leather,Livingroom,21
P000017,Table Oak,Livingroom,4
P000018,Couch Green cloth,Livingroom,10
P000019,Dining table Plastic,Kitchen,23
P000020,Stool Black ash,Kitchen,12
P000021,Chair Red leather,Livingroom,21
P000022,Table Oak,Livingroom,4
P000023,Couch Green cloth,Livingroom,10
P000024,Dining table Plastic,Kitchen,23
P000025,Stool Black ash,Kitchen,12
P000026,Chair Red leather,Livingroom,21
P000027,Table Oak,Livingroom,4
P000028,Couch Green cloth,Livingroom,10
P000029,Dining table Plastic,Kitchen,23
P000030,Stool Black ash,Kitchen,12
P000031,Chair Red leather,Livingroom,21
P000032,Table Oak,Livingroom,4
P000033,Couch Green cloth,Livingroom,10
P000034,Dining table Plastic,Kitchen,23
P000035,Stool Black ash,Kitchen,12
P000036,Chair Red leather,Livingroom,21
P000037,Table Oak,Livingroom,4
P000038,Couch Green cloth,Livingroom,10
P000039,Dining table Plastic,Kitchen,23
P000040,Stool Black ash,Kitchen,12
P000041,Chair Red leather,Livingroom,21
P000042,Table Oak,Livingroom,4
P000043,Couch Green cloth,Livingroom,10
P000044,Dining table Plastic,Kitchen,23
P000045,Stool Black ash,Kitchen,12
P000046,Chair Red leather,Livingroom,21
P000047,Table Oak,Livingroom,4
P000048,Couch Green cloth,Livingroom,10
P000049,Dining table Plastic,Kitchen,23
P000050,Stool Black ash,Kitchen,12
P000051,Chair Red leather,Livingroom,21
P000052,Table Oak,Livingroom,4
P000053,Couch Green cloth,Livingroom,10
P000054,Dining table Plastic,Kitchen,23
P000055,Stool Black ash,Kitchen,12
P000056,Chair Red leather,Livingroom,21
P000057,Table Oak,Livingroom,4
P000058,Couch Green cloth,Livingroom,10
P000059,Dining table Plastic,Kitchen,23
P000060,Stool Black ash,Kitchen,12
P000061,Chair Red leather,Livingroom,21
P000062,Table Oak,Livingroom,4
P000063,Couch Green cloth,Livingroom,10
P000064,Dining table Plastic,Kitchen,23
P000065,Stool Black ash,Kitchen,12
P000066,Chair Red leather,Livingroom,21
P000067,Table Oak,Livingroom,4
P000068,Couch Green cloth,Livingroom,10
P000069,Dining table Plastic,Kitchen,23
P000070,Stool Black ash,Kitchen,12
P000071,Chair Red leather,Livingroom,21
P000072,Table Oak,Livingroom,4
P000073,Couch Green cloth,Livingroom,10
P000074,Dining table Plastic,Kitchen,23
P000075,Stool Black ash,Kitchen,12
P000076,Chair Red leather,Livingroom,21
P000077,Table Oak,Livingroom,4
P000078,Couch Green cloth,Livingroom,10
P000079,Dining table Plastic,Kitchen,23
P000080,Stool Black ash,Kitchen,12
P000081,Chair Red leather,Livingroom,21
P000082,Table Oak,Livingroom,4
P000083,Couch Green cloth,Livingroom,10
P000084,Dining table Plastic,Kitchen,23
P000085,Stool Black ash,Kitchen,12
P000086,Chair Red leather,Livingroom,21
P000087,Table Oak,Livingroom,4
P000088,Couch Green cloth,Livingroom,10
P000089,Dining table Plastic,Kitchen,23
P000090,Stool Black ash,Kitchen,12
P000091,Chair Red leather,Livingroom,21
P000092,Table Oak,Livingroom,4
P000093,Couch Green cloth,Livingroom,10
P000094,Dining table Plastic,Kitchen,23
P000095,Stool Black ash,Kitchen,12
P000096,Chair Red leather,Livingroom,21
P000097,Table Oak,Livingroom,4
P000098,Couch Green cloth,Livingroom,10
